 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =    7.478758 THz    46.990420 2PiTHz  249.464502 cm-1    30.929642 meV
             X         Y         Z           dx          dy          dz
     16.025723  2.788024 14.474552    -0.009656    0.000000    0.017861  
      0.007149  0.929341 10.898066     0.010931    0.000000   -0.000003  
      8.908990  2.788024 14.136629    -0.012714   -0.000000   -0.000161  
 
  10 f  =    6.242272 THz    39.221351 2PiTHz  208.219779 cm-1    25.815951 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.006622    0.000000    0.016546  
      6.616854  2.788024 12.594077     0.006218   -0.000000   -0.015518  
      2.299255  0.929341 12.441442     0.006573    0.000000   -0.016303  
     11.201891  2.788024 12.594295     0.006100   -0.000000    0.015600  
     12.978330  0.929341 11.777452    -0.004672    0.000000    0.021329  
      4.075984  2.788024 13.259029    -0.004381   -0.000000   -0.019354  
      4.839461  0.929341 11.777088    -0.003984    0.000000   -0.019542  
     13.741567  2.788024 13.259193    -0.004429   -0.000000    0.017955  
      8.907040  0.929341 12.370505    -0.042150   -0.000000    0.000103  
      0.005627  2.788024 12.664576    -0.048174   -0.000000    0.000158  
     14.311903  2.788024 10.580802     0.002467   -0.000000   -0.012387  
      5.409563  0.929341 14.455386     0.002192    0.000000    0.011924  
     10.693180  0.929341 10.562509     0.000558    0.000000   -0.026094  
      1.790519  2.788024 14.473367     0.001377    0.000000    0.027874  
      3.506921  2.788024 10.580402     0.002138   -0.000000    0.012028  
     12.408767  0.929341 14.455686     0.002061    0.000000   -0.011904  
      7.123465  0.929341 10.561065     0.000706   -0.000000    0.026036  
     16.025723  2.788024 14.474552     0.001457   -0.000000   -0.028036  
      0.007149  0.929341 10.898066    -0.000573   -0.000000   -0.000064  
      8.908990  2.788024 14.136629    -0.000632    0.000000   -0.000065  
 
  11 f  =    6.043392 THz    37.971750 2PiTHz  201.585849 cm-1    24.993449 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.002578    0.000000    0.011444  
      6.616854  2.788024 12.594077     0.002747   -0.000000   -0.013020  
      2.299255  0.929341 12.441442    -0.002710    0.000000    0.013662  
     11.201891  2.788024 12.594295    -0.002787    0.000000   -0.012896  
     12.978330  0.929341 11.777452    -0.031150   -0.000000    0.038614  
      4.075984  2.788024 13.259029    -0.033940    0.000000   -0.043294  
      4.839461  0.929341 11.777088     0.035220   -0.000000    0.049270  
     13.741567  2.788024 13.259193     0.031388   -0.000000   -0.045612  
      8.907040  0.929341 12.370505    -0.002073    0.000000    0.015999  
      0.005627  2.788024 12.664576    -0.005239   -0.000000   -0.016173  
     14.311903  2.788024 10.580802     0.003623    0.000000   -0.009083  
      5.409563  0.929341 14.455386     0.003902   -0.000000    0.010390  
     10.693180  0.929341 10.562509     0.007446   -0.000000    0.007462  
      1.790519  2.788024 14.473367     0.008049    0.000000   -0.007017  
      3.506921  2.788024 10.580402    -0.004717    0.000000   -0.013261  
     12.408767  0.929341 14.455686    -0.004344    0.000000    0.012335  
      7.123465  0.929341 10.561065    -0.006214   -0.000000    0.007858  
     16.025723  2.788024 14.474552    -0.004919   -0.000000   -0.006863  
      0.007149  0.929341 10.898066    -0.000752   -0.000000    0.002045  
      8.908990  2.788024 14.136629    -0.000504   -0.000000   -0.002276  
 
  12 f  =    5.995688 THz    37.672020 2PiTHz  199.994628 cm-1    24.796162 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821    -0.001162   -0.000000    0.012689  
      6.616854  2.788024 12.594077     0.001425   -0.000000    0.011708  
      2.299255  0.929341 12.441442    -0.000131    0.000000   -0.013350  
     11.201891  2.788024 12.594295    -0.000176   -0.000000   -0.014964  
     12.978330  0.929341 11.777452    -0.032406   -0.000000    0.039571  
