     #Energy           s           p           d       tot  
   -12.25876     0.24473     0.03416     0.01545     0.29434
   -12.25476     0.24175     0.03419     0.01546     0.29140
   -12.25176     0.23795     0.03462     0.01554     0.28811
   -12.24776     0.23403     0.03552     0.01575     0.28530
   -12.24376     0.23068     0.03694     0.01612     0.28375
   -12.23976     0.22853     0.03893     0.01668     0.28414
   -12.23576     0.22820     0.04147     0.01744     0.28711
   -12.23176     0.23006     0.04452     0.01840     0.29298
   -12.22776     0.23433     0.04802     0.01955     0.30190
   -12.22476     0.24096     0.05184     0.02085     0.31365
   -12.22076     0.24959     0.05582     0.02225     0.32767
   -12.21676     0.25956     0.05985     0.02369     0.34310
   -12.21276     0.26993     0.06367     0.02508     0.35868
   -12.20876     0.27960     0.06709     0.02634     0.37303
   -12.20476     0.28733     0.06993     0.02737     0.38462
   -12.20076     0.29188     0.07195     0.02807     0.39190
   -12.19776     0.29227     0.07299     0.02837     0.39363
   -12.19376     0.28778     0.07294     0.02823     0.38895
   -12.18976     0.27811     0.07169     0.02761     0.37741
   -12.18576     0.26356     0.06933     0.02654     0.35943
   -12.18176     0.24482     0.06598     0.02508     0.33587
   -12.17776     0.22315     0.06185     0.02334     0.30834
   -12.17376     0.20002     0.05732     0.02145     0.27880
   -12.17076     0.17710     0.05275     0.01959     0.24944
   -12.16676     0.15603     0.04853     0.01790     0.22246
   -12.16276     0.13824     0.04503     0.01652     0.19980
   -12.15876     0.12484     0.04254     0.01558     0.18297
   -12.15476     0.11653     0.04123     0.01515     0.17291
   -12.15076     0.11361     0.04115     0.01523     0.16999
   -12.14776     0.11589     0.04221     0.01581     0.17391
   -12.14376     0.12289     0.04421     0.01682     0.18392
   -12.13976     0.13375     0.04688     0.01814     0.19878
   -12.13576     0.14741     0.04989     0.01966     0.21696
   -12.13176     0.16271     0.05290     0.02122     0.23684
   -12.12776     0.17839     0.05563     0.02272     0.25673
   -12.12376     0.19323     0.05781     0.02401     0.27505
   -12.12076     0.20622     0.05929     0.02504     0.29055
   -12.11676     0.21652     0.06002     0.02574     0.30228
   -12.11276     0.22371     0.06003     0.02610     0.30984
   -12.10876     0.22768     0.05948     0.02617     0.31333
   -12.10476     0.22880     0.05859     0.02603     0.31342
   -12.10076     0.22774     0.05765     0.02578     0.31117
   -12.09676     0.22549     0.05701     0.02557     0.30807
   -12.09376     0.22305     0.05700     0.02553     0.30558
   -12.08976     0.22141     0.05789     0.02579     0.30509
   -12.08576     0.22127     0.05990     0.02643     0.30761
   -12.08176     0.22308     0.06318     0.02751     0.31377
   -12.07776     0.22673     0.06762     0.02901     0.32336
