      #Energy        TDOS
     -11.52376      22.93000
     -11.51976      23.85000
     -11.51576      24.70000
     -11.51176      25.46000
     -11.50776      26.10000
     -11.50376      26.59000
     -11.49976      26.94000
     -11.49676      27.12000
     -11.49276      27.15000
     -11.48876      27.02000
     -11.48476      26.74000
     -11.48076      26.32000
     -11.47676      25.78000
     -11.47276      25.14000
     -11.46976      24.41000
     -11.46576      23.65000
     -11.46176      22.88000
     -11.45776      22.15000
     -11.45376      21.52000
     -11.44976      21.02000
     -11.44676      20.69000
     -11.44276      20.58000
     -11.43876      20.70000
     -11.43476      21.05000
     -11.43076      21.61000
     -11.42676      22.34000
     -11.42276      23.18000
     -11.41976      24.06000
     -11.41576      24.91000
     -11.41176      25.65000
     -11.40776      26.21000
     -11.40376      26.57000
     -11.39976      26.70000
     -11.39576      26.60000
     -11.39276      26.31000
     -11.38876      25.88000
     -11.38476      25.35000
     -11.38076      24.80000
     -11.37676      24.27000
     -11.37276      23.81000
     -11.36976      23.46000
     -11.36576      23.25000
     -11.36176      23.18000
     -11.35776      23.25000
     -11.35376      23.47000
     -11.34976      23.80000
     -11.34576      24.21000
     -11.34276      24.65000
     -11.33876      25.06000
     -11.33476      25.36000
     -11.33076      25.49000
     -11.32676      25.37000
     -11.32276      24.96000
     -11.31876      24.22000
     -11.31576      23.16000
     -11.31176      21.81000
     -11.30776      20.24000
     -11.30376      18.55000
     -11.29976      16.83000
     -11.29576      15.20000
     -11.29176      13.76000
     -11.28876      12.57000
     -11.28476      11.71000
     -11.28076      11.18000
     -11.27676      10.98000
     -11.27276      11.07000
     -11.26876      11.39000
     -11.26576      11.89000
